wno(vac) wavel(air) v  v Branch N" noINmeanVALUE
28275.9200  3535.614  2  1 R2   52  1
28275.5980  3535.654  1  0 R1   55  1
28274.9530  3535.735  1  0 R2   55  1
28269.2400  3536.449  4  3 R1   52  1
28268.6250  3536.526  2  1 R1   51  1
28268.6250  3536.526  4  3 R2   52  1
28268.1050  3536.591  2  1 R2   51  1
28267.0610  3536.722  1  0 R1   54  1
28266.4430  3536.799  1  0 R2   54  1
28262.9570  3537.236  4  3 R1   51  1
28262.2640  3537.322  4  3 R2   51  1
28260.9790  3537.483  2  1 R1   50  1
28260.4590  3537.548  2  1 R2   50  1
28258.5120  3537.792  1  0 R1   53  1
28258.0120  3537.855  1  0 R2   53  1
28256.6890  3538.020  4  3 R1   50  1
28256.0210  3538.104  4  3 R2   50  1
28253.2270  3538.454  2  1 R1   49  1
28253.0250  3538.479  2  1 R2   49  1
28250.1620  3538.838  1  0 R1   52  1
28249.7300  3538.892  1  0 R2   52  1
28245.6330  3539.405  2  1 R1   48  1
28245.1090  3539.471  2  1 R2   48  1
28244.2460  3539.579  4  3 R1   48  1
28243.5720  3539.663  4  3 R2   48  1
28238.0800  3540.352  2  1 R1   47  1
28237.5230  3540.422  2  1 R2   47  1
28234.6450  3540.782  3  2 R1   45  1
28234.1880  3540.840  3  2 R2   45  1
28233.4960  3540.927  1  0 R1   50  1
28232.9920  3540.990  1  0 R2   50  1
28231.9360  3541.122  4  3 R1   46  1
28231.2460  3541.209  4  3 R2   46  1
28230.6110  3541.288  2  1 R1   46  1
28230.1130  3541.351  2  1 R2   46  1
28227.9220  3541.626  3  2 R1   44  1
28227.4300  3541.687  3  2 R2   44  1
28225.7850  3541.894  4  3 R1   45  1
28225.3340  3541.950  1  0 R1   49  1
28225.3340  3541.950  4  3 R2   45  1
28224.8890  3542.006  1  0 R2   49  1
